brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
MITSUBISHI,TRITON,GLX 2WD,2024,Bán tải,Dầu,Tự động,2.4,5,RWD,570000000,5400,Nhập khẩu,Xám,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-mitsubishi-triton-glx-2wd-at-2024-6848510
LEXUS,RX,300,2021,SUV,Xăng,Tự động,2,5,AWD,2599000000,13999,Nhập khẩu,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-lexus-rx-300-2021-6841705
FORD,TERRITORY,Titanium,2026,SUV,Xăng,Tự động,1.5,5,FWD,744000000,,Trong nước,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2026-6600121
VINFAST,VF5,Plus,2024,SUV,Điện,Tự động,,5,FWD,329000000,140000,Trong nước,Xanh,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-vinfast-vf5-plus-2024-6849093
NISSAN,ALMERA,V,2024,Sedan,Xăng,Tự động,1,5,FWD,459000000,10000,Nhập khẩu,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-nissan-almera-v-1.0-cvt-2024-6849098
HYUNDAI,TUCSON,Đặc biệt,2025,Crossover,Xăng,Tự động,2,5,FWD,818000000,22000,Trong nước,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-hyundai-tucson-2.0-at-dac-biet-2025-6849097
MERCEDES BENZ,GLC,250 4Matic,2017,SUV,Xăng,Tự động,2,5,AWD,755000000,107000,Trong nước,Đỏ,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2017-6838398
HYUNDAI,TUCSON,ATH,2020,Crossover,Xăng,Tự động,2,5,FWD,620000000,86000,Trong nước,Đen,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2020-6844186
VINFAST,LUX,SA Premium,2019,SUV,Xăng,Tự động,2,7,AWD,555000000,91000,Trong nước,Đỏ,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-vinfast-lux_sa_2.0-premium-2.0-at-2019-6849174
MERCEDES BENZ,CLA,class CLA 250 4Matic,2018,Sedan,Xăng,Tự động,2,5,AWD,755000000,46000,Nhập khẩu,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-cla_class-cla-250-4matic-2018-6849168
MITSUBISHI,XFORCE,GLX,2026,SUV,Xăng,Tự động,1.5,5,FWD,759000000,730,Nhập khẩu,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-mitsubishi-xforce-glx-2026-6849165
KIA,SEDONA,DAT Luxury,2019,MPV,Dầu,Tự động,2.2,7,FWD,665000000,0,Trong nước,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-kia-sedona-2.2-dat-luxury-2019-6841430
TOYOTA,VIOS,E,2016,Sedan,Xăng,Số tay,1.5,5,FWD,220000000,100000,Trong nước,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-toyota-vios-1.5e-2016-6849206
